meal_type,selected_model,model_type,mae,pearson_r,r2,rmse
Breakfast,TabPFN (spec),specialized,1424.9504208238131,0.8002416620994028,0.6292648368775556,1908.1886204600648
Lunch,CatBoost (spec),specialized,1736.0261682733385,0.5549793482895453,0.16589415026917909,2225.1257178150113
Dinner,TabPFN (uni),universal,1591.1294814140447,0.2716814278413999,0.03227232590701179,2201.7297093272205
